,Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
0,1,Gonzaga,WCC,33,4,87.6,64.9,22.78,5.02,18.6,9.21,27.8,125.15,86.2,38.95
1,2,Duke,ACC,32,6,82.7,67.8,14.92,11.97,17.52,9.37,26.89,121.57,84.18,37.39
2,3,Virginia,ACC,34,3,71.1,55.5,15.51,9.8,4.38,20.93,25.31,124.16,84.71,39.45
3,4,Michigan State,Big Ten,32,7,77.6,65.0,12.59,12.35,12.95,11.98,24.94,122.59,86.19,36.4
4,5,North Carolina,ACC,29,7,85.8,73.2,12.58,11.35,19.82,4.11,23.93,120.59,88.17,32.42
5,6,Texas Tech,Big 12,31,6,72.6,58.8,13.84,9.11,5.41,17.55,22.95,115.05,80.76,34.29
6,7,Michigan,Big Ten,30,7,69.6,58.3,11.27,10.56,4.25,17.58,21.83,115.38,82.52,32.87
7,8,Tennessee,SEC,31,6,82.0,69.7,12.3,10.16,14.69,6.87,21.55,123.13,92.12,31.01
8,9,Kentucky,SEC,30,7,75.8,64.7,11.14,10.29,8.31,13.12,21.43,119.35,87.29,32.06
9,10,Purdue,Big Ten,26,10,76.7,67.3,9.42,11.99,12.3,9.1,21.4,123.62,91.72,31.9
10,11,Auburn,SEC,30,10,79.7,68.8,10.95,10.92,13.14,7.7,20.84,121.29,91.6,29.69
11,12,Virginia Tech,ACC,26,9,73.5,62.1,11.49,7.78,6.52,12.75,19.27,119.77,90.48,29.29
12,13,Houston,AAC,33,4,75.3,61.0,14.3,4.62,6.31,12.6,18.92,116.08,88.24,27.84
13,14,Kansas,Big 12,26,10,75.7,70.1,5.56,12.81,10.91,7.46,18.37,115.59,89.19,26.4
14,15,Iowa State,Big 12,23,12,76.9,68.1,8.77,9.32,10.54,7.56,18.09,119.67,93.07,26.6
15,16,Florida State,ACC,29,8,74.9,67.2,7.73,10.25,8.71,9.28,17.98,113.41,87.46,25.95
16,17,Wisconsin,Big Ten,23,11,68.6,61.7,6.88,11.01,2.78,15.11,17.89,112.48,85.77,26.71
17,18,Louisville,ACC,20,14,74.6,68.4,6.24,11.03,8.42,8.85,17.27,115.41,90.35,25.06
18,19,Louisiana State,SEC,28,7,80.4,73.1,7.34,9.16,13.86,2.64,16.5,118.08,94.14,23.95
19,20,Texas,Big 12,21,16,71.0,66.4,4.59,11.48,4.68,11.39,16.08,114.62,90.79,23.83
20,21,Maryland,Big Ten,23,11,71.4,65.5,5.91,10.09,5.6,10.41,16.01,114.25,90.84,23.42
21,22,Nevada,MWC,29,5,80.1,66.8,13.32,2.68,9.4,6.61,16.01,114.6,91.97,22.63
22,23,Mississippi State,SEC,23,11,77.3,70.4,6.88,9.08,10.03,5.93,15.96,117.67,94.2,23.47
23,24,Buffalo,MAC (East),32,4,84.4,70.8,13.53,2.63,14.37,1.2,15.57,114.93,93.7,21.23
24,25,Florida,SEC,20,16,67.8,63.6,4.19,11.23,0.81,14.61,15.42,111.91,89.09,22.82
25,26,Kansas State,Big 12,25,9,65.8,59.6,6.21,9.2,-1.4,16.81,15.41,108.89,85.71,23.18
26,27,Oklahoma,Big 12,20,14,71.3,68.2,3.09,12.23,6.95,8.37,15.32,111.43,89.85,21.58
27,28,North Carolina State,ACC,24,12,80.1,71.3,8.72,6.21,12.56,2.37,14.93,114.61,94.05,20.56
28,29,Nebraska,Big Ten,19,17,71.8,67.3,4.58,11.32,6.67,8.19,14.86,114.68,93.58,21.1
29,30,Marquette,Big East,24,10,77.3,69.5,7.82,6.96,8.5,6.28,14.78,113.03,91.95,21.08
30,31,Cincinnati,AAC,28,7,71.7,62.7,9.03,5.51,2.64,11.9,14.54,113.44,91.66,21.78
31,32,Villanova,Big East,26,10,73.7,67.4,6.36,7.97,5.02,9.31,14.33,117.3,96.19,21.11
32,33,Iowa,Big Ten,23,12,78.3,73.9,4.43,9.84,12.59,1.68,14.27,119.15,98.31,20.84
33,34,Oregon,Pac-12,25,13,70.0,62.2,7.82,6.14,0.7,13.25,13.95,110.18,88.87,21.31
34,35,Wofford,Southern,30,5,82.3,65.6,16.69,0.8,7.66,6.26,13.93,118.3,97.06,21.24
35,36,Ohio State,Big Ten,20,15,69.1,66.2,2.89,11.0,2.84,11.05,13.89,110.66,90.53,20.13
36,37,Clemson,ACC,20,14,68.8,63.9,4.85,8.99,1.85,11.99,13.84,109.13,88.51,20.63
37,38,Texas Christian,Big 12,23,14,73.8,69.6,4.22,9.62,7.82,6.02,13.84,112.35,92.68,19.67
38,39,Indiana,Big Ten,19,16,71.5,67.8,3.71,10.11,5.08,8.75,13.82,110.47,90.65,19.82
39,40,Syracuse,ACC,20,14,69.7,66.1,3.65,10.08,3.37,10.35,13.73,111.5,90.85,20.65
40,41,Baylor,Big 12,20,14,71.8,67.7,4.12,9.28,5.27,8.13,13.4,114.87,94.86,20.01
41,42,Central Florida,AAC,24,9,72.3,64.5,7.79,5.59,3.01,10.37,13.37,111.74,91.97,19.77
42,43,Saint Mary's (CA),WCC,22,12,72.4,64.3,8.18,4.41,2.16,10.42,12.59,115.24,95.56,19.69
43,44,Penn State,Big Ten,14,18,69.7,68.6,1.03,11.52,4.56,7.98,12.55,109.7,90.79,18.91
44,45,Minnesota,Big Ten,22,14,70.6,69.4,1.25,11.27,5.5,7.03,12.52,111.5,93.36,18.15
45,46,Mississippi,SEC,20,13,75.3,71.1,4.18,8.14,7.75,4.58,12.32,113.28,95.1,18.18
46,47,Washington,Pac-12,27,9,69.8,64.8,5.0,7.02,1.22,10.79,12.02,108.16,90.41,17.75
47,48,Creighton,Big East,20,15,77.9,73.2,4.74,8.59,8.81,3.19,12.0,114.09,96.75,17.35
48,49,Utah State,MWC,28,7,78.7,67.1,11.54,0.89,6.81,5.17,11.98,111.38,93.96,17.42
49,50,Virginia Commonwealth,A-10,25,8,71.0,61.9,9.09,2.87,1.18,10.78,11.96,104.03,86.23,17.8
50,51,Arkansas,SEC,18,16,75.3,72.3,2.97,8.79,8.22,3.54,11.76,110.56,93.72,16.85
51,52,Memphis,AAC,22,14,80.1,74.4,5.61,5.1,11.46,-0.76,10.71,109.92,94.68,15.25
52,53,Arizona State,Pac-12,23,11,77.6,73.4,4.24,6.05,8.06,2.22,10.29,109.49,94.49,15.0
53,54,Seton Hall,Big East,20,14,73.8,71.9,1.91,8.34,5.79,4.47,10.26,109.57,94.27,15.3
54,55,New Mexico State,WAC,30,5,78.1,64.5,13.57,-2.37,3.91,6.15,10.06,113.06,97.77,15.3
55,56,Northwestern,Big Ten,13,19,65.9,65.1,0.81,9.16,-0.65,10.62,9.97,104.65,89.89,14.77
56,57,Colorado,Pac-12,23,13,73.6,67.5,6.08,3.6,3.14,6.55,9.69,107.63,93.66,13.97
57,58,Dayton,A-10,21,12,72.9,66.2,6.76,2.91,3.07,6.6,9.67,112.03,97.31,14.72
58,59,Xavier,Big East,19,16,72.2,70.6,1.54,8.07,3.46,6.15,9.61,112.28,98.07,14.21
59,60,Alabama,SEC,18,16,72.0,71.6,0.44,9.02,4.6,4.86,9.46,108.64,95.0,13.64
60,61,Miami (FL),ACC,14,18,71.8,71.1,0.69,8.69,4.11,5.27,9.38,110.71,97.19,13.52
61,62,Butler,Big East,16,17,71.9,70.8,1.12,8.1,3.97,5.25,9.22,112.25,98.62,13.63
62,63,Lipscomb,A-Sun,29,8,83.1,70.2,12.95,-1.19,9.85,-0.64,9.21,110.62,97.14,13.48
63,64,Belmont,OVC,27,6,86.9,73.9,13.0,-2.59,11.35,-2.23,9.12,114.75,101.38,13.37
64,65,Fresno State,MWC,23,9,76.5,67.6,8.94,0.67,4.13,4.87,8.99,109.84,96.56,13.27
65,66,Illinois,Big Ten,12,21,72.7,75.2,-2.58,11.53,7.87,1.08,8.96,110.49,97.49,13.0
66,67,Murray State,OVC,28,5,82.6,68.3,14.3,-3.11,6.13,2.83,8.96,111.59,98.1,13.49
67,68,Rutgers,Big Ten,14,17,67.9,68.8,-0.87,9.76,1.9,6.99,8.89,106.13,93.04,13.09
